Model,Strategy,Image_ID,True_Label,EN_Status,RO_Status,Direction
GPT,S1,602,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S1,1146,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,38,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,57,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,89,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,92,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,124,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,132,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,140,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,143,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,144,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,168,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,221,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,245,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,403,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,418,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,461,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,497,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,499,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,508,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,518,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,544,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,582,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,606,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,664,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,750,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1001,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1022,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1068,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,1139,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,1151,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,1153,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,1157,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1158,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1160,Real,UNPARSED,OK,"EN fails, RO ok"
GPT,S2,1168,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1172,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1181,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S2,1200,Real,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,1,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,3,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,38,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,42,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,67,Fake,OK,UNPARSED,"RO fails, EN ok"
GPT,S3,90,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,92,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,93,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,114,Fake,UNPARSED,OK,"EN fails, RO ok"
GPT,S3,125,Fake,UNPARSED,OK,"EN fails, RO ok"
